,oil,gas,coal,geological,total
2019-03-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-04-01,2.6440246,3.5716767,3.0441616,1.7583333333333335,11.018196233333331
2019-05-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-06-01,2.6440246,3.5716767,3.0441616,1.7583333333333335,11.018196233333331
2019-07-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-08-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-09-01,2.6440246,3.5716767,3.0441616,1.7583333333333335,11.018196233333331
2019-10-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2019-11-01,2.6440246,3.5716767,3.0441616,1.7583333333333335,11.018196233333331
2019-12-01,2.7321584,3.6907327,3.145634,1.7583333333333335,11.326858433333332
2020-01-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-02-01,2.5559506,3.4429693,2.9668353,1.7583333333333335,10.724088533333333
2020-03-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-04-01,2.644087,3.5616927,3.0691397,1.7583333333333335,11.033252733333333
2020-05-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-06-01,2.644087,3.5616927,3.0691397,1.7583333333333335,11.033252733333333
2020-07-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-08-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-09-01,2.644087,3.5616927,3.0691397,1.7583333333333335,11.033252733333333
2020-10-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2020-11-01,2.644087,3.5616927,3.0691397,1.7583333333333335,11.033252733333333
2020-12-01,2.732223,3.6804159,3.171444,1.7583333333333335,11.342416233333331
2021-01-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-02-01,2.4680927,3.3152442,2.8884337,1.7583333333333335,10.430103933333333
2021-03-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-04-01,2.644385,3.5520477,3.0947504,1.7583333333333335,11.049516433333334
2021-05-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-06-01,2.644385,3.5520477,3.0947504,1.7583333333333335,11.049516433333334
2021-07-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-08-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-09-01,2.644385,3.5520477,3.0947504,1.7583333333333335,11.049516433333334
2021-10-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2021-11-01,2.644385,3.5520477,3.0947504,1.7583333333333335,11.049516433333334
2021-12-01,2.7325313,3.6704495,3.1979089,1.7583333333333335,11.359223033333333
2022-01-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-02-01,2.4685965,3.3065572,2.9129376,1.7583333333333335,10.446424633333333
2022-03-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-04-01,2.6449254,3.54274,3.1210043,1.7583333333333335,11.067003033333332
2022-05-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-06-01,2.6449254,3.54274,3.1210043,1.7583333333333335,11.067003033333332
2022-07-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-08-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-09-01,2.6449254,3.54274,3.1210043,1.7583333333333335,11.067003033333332
2022-10-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2022-11-01,2.6449254,3.54274,3.1210043,1.7583333333333335,11.067003033333332
2022-12-01,2.7330894,3.6608312,3.2250385,1.7583333333333335,11.377292433333333
2023-01-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-02-01,2.4693334,3.298184,2.9380524,1.7583333333333335,10.463903133333332
2023-03-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-04-01,2.6457145,3.5337684,3.147913,1.7583333333333335,11.085729233333332
2023-05-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-06-01,2.6457145,3.5337684,3.147913,1.7583333333333335,11.085729233333332
2023-07-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-08-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-09-01,2.6457145,3.5337684,3.147913,1.7583333333333335,11.085729233333332
2023-10-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2023-11-01,2.6457145,3.5337684,3.147913,1.7583333333333335,11.085729233333332
2023-12-01,2.7339048,3.6515603,3.2528434,1.7583333333333335,11.396641833333332
2024-01-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-02-01,2.5585341,3.4076276,3.0696397,1.7583333333333335,10.794134733333333
2024-03-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-04-01,2.6467595,3.525132,3.1754894,1.7583333333333335,11.105714233333334
2024-05-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-06-01,2.6467595,3.525132,3.1754894,1.7583333333333335,11.105714233333334
2024-07-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-08-01,2.7349846,3.6426363,3.2813394,1.7583333333333335,11.417293633333333
2024-09-01,2.6467595,3.525132,3.1754894,1.7583333333333335,11.105714233333334
