time;emission(Tg/Year)
2.013916666666666742e+03;2.471608977336013702e+00
2.014000000000000000e+03;2.455226515550534394e+00
2.014083333333333258e+03;2.507747714605162326e+00
2.014166666666666742e+03;2.598022901959582409e+00
2.014250000000000000e+03;2.454617439501116660e+00
2.014333333333333258e+03;2.475807957926530634e+00
2.014416666666666742e+03;2.485934864230288532e+00
2.014500000000000000e+03;2.495273814407162227e+00
2.014583333333333258e+03;2.490523028284079121e+00
2.014666666666666742e+03;2.596656400078436011e+00
2.014750000000000000e+03;2.467667399208418377e+00
2.014833333333333258e+03;2.541077334694815448e+00
2.014916666666666742e+03;2.460945517273833261e+00
2.015000000000000000e+03;2.443185623690629971e+00
2.015083333333333258e+03;2.469116869855544572e+00
2.015166666666666742e+03;2.505096191553351392e+00
2.015250000000000000e+03;2.617871528985131757e+00
2.015333333333333258e+03;2.562761681710888251e+00
2.015416666666666742e+03;2.546384944260254635e+00
2.015500000000000000e+03;2.488044357723247835e+00
2.015583333333333258e+03;2.519681874025394563e+00
2.015666666666666742e+03;2.745570247868836855e+00
2.015750000000000000e+03;2.609934046424585485e+00
2.015833333333333258e+03;2.435285810104029114e+00
2.015916666666666742e+03;2.421319907241718639e+00
2.016000000000000000e+03;2.467583155797162142e+00
2.016083333333333258e+03;2.489498621280930912e+00
2.016166666666666742e+03;2.518589782070630889e+00
2.016250000000000000e+03;2.501155223731950983e+00
2.016333333333333258e+03;2.532428568666647895e+00
2.016416666666666742e+03;2.532763417842606390e+00
2.016500000000000000e+03;2.475323510928140180e+00
2.016583333333333258e+03;2.412648154859803551e+00
2.016666666666666742e+03;2.492755804313290913e+00
2.016750000000000000e+03;2.461652174105235957e+00
2.016833333333333258e+03;2.448601312035405986e+00
2.016916666666666742e+03;2.489442508588132430e+00
2.017000000000000000e+03;2.460013444955501338e+00
2.017083333333333258e+03;2.486778311457231716e+00
2.017166666666666742e+03;2.485353731612379935e+00
2.017250000000000000e+03;2.524967602450241877e+00
2.017333333333333258e+03;2.492740670059053976e+00
2.017416666666666742e+03;2.452297489586264145e+00
2.017500000000000000e+03;2.525143080988066391e+00
2.017583333333333258e+03;2.498943944389989014e+00
2.017666666666666742e+03;2.475570625607994124e+00
2.017750000000000000e+03;2.538662054251841660e+00
2.017833333333333258e+03;2.383933833262926072e+00
2.017916666666666742e+03;2.442750861511327365e+00
2.018000000000000000e+03;2.529361188321161968e+00
2.018083333333333258e+03;2.429007760330696541e+00
2.018166666666666742e+03;2.455544180126456144e+00
