time;coal;gas;oil
01.01.2022;3.2250385;3.6608312;2.7330894
01.02.2022;2.9129376;3.3065572;2.4685965
01.03.2022;3.2250385;3.6608312;2.7330894
01.04.2022;3.1210043;3.54274;2.6449254
01.05.2022;3.2250385;3.6608312;2.7330894
01.06.2022;3.1210043;3.54274;2.6449254
01.07.2022;3.2250385;3.6608312;2.7330894
01.08.2022;3.2250385;3.6608312;2.7330894
01.09.2022;3.1210043;3.54274;2.6449254
01.10.2022;3.2250385;3.6608312;2.7330894
01.11.2022;3.1210043;3.54274;2.6449254
01.12.2022;3.2250385;3.6608312;2.7330894
01.01.2023;3.2528434;3.6515603;2.7339048
01.02.2023;2.9380524;3.298184;2.4693334
01.03.2023;3.2528434;3.6515603;2.7339048
01.04.2023;3.147913;3.5337684;2.6457145
01.05.2023;3.2528434;3.6515603;2.7339048
01.06.2023;3.147913;3.5337684;2.6457145
01.07.2023;3.2528434;3.6515603;2.7339048
01.08.2023;3.2528434;3.6515603;2.7339048
01.09.2023;3.147913;3.5337684;2.6457145
01.10.2023;3.2528434;3.6515603;2.7339048
01.11.2023;3.147913;3.5337684;2.6457145
01.12.2023;3.2528434;3.6515603;2.7339048
01.01.2024;3.2813394;3.6426363;2.7349846
01.02.2024;3.0696397;3.4076276;2.5585341
01.03.2024;3.2813394;3.6426363;2.7349846
01.04.2024;3.1754894;3.525132;2.6467595
01.05.2024;3.2813394;3.6426363;2.7349846
01.06.2024;3.1754894;3.525132;2.6467595
01.07.2024;3.2813394;3.6426363;2.7349846
01.08.2024;3.2813394;3.6426363;2.7349846
01.09.2024;3.1754894;3.525132;2.6467595
01.10.2024;3.2813394;3.6426363;2.7349846
01.11.2024;3.1754894;3.525132;2.6467595
01.12.2024;3.2813394;3.6426363;2.7349846
01.01.2025;3.310537;3.6340585;2.7363372
01.02.2025;2.9901628;3.2823753;2.4715302
01.03.2025;3.310537;3.6340585;2.7363372
01.04.2025;3.2037456;3.5168307;2.6480684
01.05.2025;3.310537;3.6340585;2.7363372
01.06.2025;3.2037456;3.5168307;2.6480684
01.07.2025;3.310537;3.6340585;2.7363372
01.08.2025;3.310537;3.6340585;2.7363372
01.09.2025;3.2037456;3.5168307;2.6480684
01.10.2025;3.310537;3.6340585;2.7363372
01.11.2025;3.2037456;3.5168307;2.6480684
01.12.2025;3.310537;3.6340585;2.7363372
01.01.2026;3.3404522;3.6258266;2.737971
01.02.2026;3.0171824;3.27494;2.473006
01.03.2026;3.3404522;3.6258266;2.737971
01.04.2026;3.232695;3.5088644;2.6496491
01.05.2026;3.3404522;3.6258266;2.737971
01.06.2026;3.232695;3.5088644;2.6496491
01.07.2026;3.3404522;3.6258266;2.737971
01.08.2026;3.3404522;3.6258266;2.737971
01.09.2026;3.232695;3.5088644;2.6496491
01.10.2026;3.3404522;3.6258266;2.737971
01.11.2026;3.232695;3.5088644;2.6496491
01.12.2026;3.3404522;3.6258266;2.737971
